,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
451570,4VTN7GhyqwTqg2Dzgh3off,"St. Matthew Passion, BWV 244 - Part One: No.16 Evangelist, Jesus, Petrus: ""Petrus aber antwortete""",1.0,"['Johann Sebastian Bach', 'Karl Erb', 'Willem Ravelli', 'Herman Schey', 'Concertgebouworkest', 'Willem Mengelberg']",1952-01-01,0.353,0.10099999999999999,-21.386999999999997,1.0,0.0545,0.9640000000000001,0.222,126.46700000000001
451575,66Q05qZsY4xlqNMM3R6Zm2,"St. Matthew Passion, BWV 244 - Part One: No.28 Evangelist, Jesus: ""Und siehe, einer aus denen""",1.0,"['Johann Sebastian Bach', 'Karl Erb', 'Willem Ravelli', 'Concertgebouworkest', 'Willem Mengelberg']",1952-01-01,0.32799999999999996,0.0988,-21.37,1.0,0.0438,0.941,0.071,112.19
451623,3TUSn6Uuj1gtpSiVYmpazc,Bury My Body,4.0,"[""Chris Barber's Jazz Band""]",1955-01-01,0.5670000000000001,0.011000000000000001,-22.749000000000002,0.0,0.0469,0.877,0.071,128.122
451642,6SNfZwXAKytdQeg7Fxno9t,It Never Entered My Mind,5.0,['Cal Tjader Quartet'],1956-05-24,0.504,0.0423,-27.863000000000003,0.0,0.0507,0.914,0.14800000000000002,78.681
451849,2Xr64g3a9HGQ0NLrle4iGJ,3 tunes new to John Playford's Dancing Master,15.0,"['Anonymous', 'Pedro Memelsdorff', 'Andreas Staier']",1968,0.335,0.0399,-24.924,0.0,0.0469,0.9259999999999999,0.249,129.171
452037,5woaXyamLKMoqbBjxpI7Qe,"Alles - ""Alles"" Re-Recording",15.0,['Herman van Veen'],1973-01-01,0.456,0.0337,-26.948,1.0,0.0486,0.94,0.239,121.413
452045,6B2Qwszg6OTXYQLaJpnlAj,Rose Is A Rose Is A Rose Is A Rose,13.0,['Rogier Van Otterloo'],1973-05-30,0.5379999999999999,0.115,-16.804000000000002,0.0,0.0523,0.956,0.0877,119.54899999999999
452238,2WaFIB64VPizi5iuOcONxb,Aoife,15.0,['Flairck'],1978-01-01,0.29100000000000004,0.0407,-28.784000000000002,1.0,0.0402,0.9640000000000001,0.142,116.566
452556,5EoVSMIVYqF4gOsQ9jn3JR,"Peer Gynt Suite No.1, Op.46: 4. In The Hall Of The Mountain King",29.0,"['Edvard Grieg', 'Berliner Philharmoniker', 'Herbert von Karajan']",1983-01-01,0.325,0.0692,-20.180999999999997,1.0,0.0613,0.863,0.228,98.43799999999999
452557,2nRtvI84lnEBao3ThUEbeX,"Messiah, HWV 56 / Pt. 1: 10. Accompagnato: For behold, darkness shall cover",27.0,"['George Frideric Handel', 'Robert Hale', 'The Monteverdi Choir', 'English Baroque Soloists', 'John Eliot Gardiner']",1983-01-01,0.3,0.0202,-29.368000000000002,1.0,0.0458,0.9670000000000001,0.156,112.98700000000001
